og	go	type	evidence
871849at2759	GO:0005506	F	IEA
871849at2759	GO:0016020	C	IEA
871849at2759	GO:0016021	C	IEA
871849at2759	GO:0016491	F	IEA
871849at2759	GO:0016705	F	IEA
871849at2759	GO:0020037	F	IEA
871849at2759	GO:0046872	F	IEA
885011at2759	GO:0006629	P	IEA
885011at2759	GO:0008759	F	IEA
885011at2759	GO:0009245	P	IEA
885011at2759	GO:0016787	F	IEA
885011at2759	GO:0046872	F	IEA
885011at2759	GO:0103117	F	IEA
885011at2759	GO:2001289	P	IEA
901158at2759	GO:0000139	C	IEA
901158at2759	GO:0005794	C	IEA
901158at2759	GO:0015018	F	IEA
901158at2759	GO:0016020	C	IEA
901158at2759	GO:0016021	C	IEA
901158at2759	GO:0016740	F	IEA
901158at2759	GO:0016757	F	IEA
901158at2759	GO:0071555	P	IEA
911005at2759	GO:0004930	F	IEA
911005at2759	GO:0005887	C	IBA
911005at2759	GO:0007186	P	IBA
911005at2759	GO:0007601	P	IEA
911005at2759	GO:0007602	P	IBA
911005at2759	GO:0008020	F	IBA
911005at2759	GO:0009584	P	IEA
911005at2759	GO:0009881	F	IEA
911005at2759	GO:0016020	C	IEA
911005at2759	GO:0016021	C	IEA
911005at2759	GO:0018298	P	IEA
911005at2759	GO:0050896	P	IEA
911005at2759	GO:0071482	P	IBA
913304at2759	GO:0016491	F	IEA
917326at2759	GO:0016192	P	IEA
918089at2759	GO:0004655	F	IEA
918089at2759	GO:0006779	P	IEA
918089at2759	GO:0006782	P	IEA
918089at2759	GO:0006783	P	IEA
918089at2759	GO:0016829	F	IEA
918089at2759	GO:0033014	P	IEA
918089at2759	GO:0046872	F	IEA
918816at2759	GO:0005634	C	IEA
918816at2759	GO:0006281	P	IEA
918816at2759	GO:0006338	P	IEA
918816at2759	GO:0035267	C	IEA
918816at2759	GO:0043229	C	IEA
918816at2759	GO:0043967	P	IEA
918816at2759	GO:0043968	P	IEA
924221at2759	GO:0016829	F	IEA
924221at2759	GO:0030570	F	IEA
924221at2759	GO:0045490	P	IEA
924221at2759	GO:0046872	F	IEA
932490at2759	GO:0004014	F	IEA
932490at2759	GO:0006557	P	IEA
932490at2759	GO:0006596	P	IEA
932490at2759	GO:0006597	P	IEA
932490at2759	GO:0008295	P	IEA
932490at2759	GO:0016829	F	IEA
932490at2759	GO:0016831	F	IEA
93889at2759	GO:0004252	F	IEA
93889at2759	GO:0006508	P	IEA
939345at2759	GO:0000994	F	IBA
939345at2759	GO:0005634	C	IBA
939345at2759	GO:0016480	P	IBA
960152at2759	GO:0004222	F	IEA
960152at2759	GO:0006508	P	IEA
960152at2759	GO:0008233	F	IEA
960152at2759	GO:0008237	F	IEA
960152at2759	GO:0016787	F	IEA
960152at2759	GO:0046872	F	IEA
982374at2759	GO:0016791	F	IEA
1007850at2759	GO:0006556	P	IEA
1007850at2759	GO:0016020	C	IEA
1007850at2759	GO:0016021	C	IEA
1039292at2759	GO:0004930	F	IEA
1039292at2759	GO:0007165	P	IEA
1039292at2759	GO:0007186	P	IEA
1039292at2759	GO:0007189	P	IEA
1039292at2759	GO:0016020	C	IEA
1039292at2759	GO:0016021	C	IEA
1055578at2759	GO:0009734	P	IEA
1055578at2759	GO:0016020	C	IEA
1055578at2759	GO:0016021	C	IEA
1055578at2759	GO:0055085	P	IEA
1055578at2759	GO:0080162	P	IEA
1066001at2759	GO:0005576	C	IEA
1066001at2759	GO:0016829	F	IEA
1066001at2759	GO:0030570	F	IEA
1074094at2759	GO:0003858	F	IEA
1089743at2759	GO:0016491	F	IEA
1132781at2759	GO:0002250	P	IEA
1132781at2759	GO:0002503	P	IBA
1132781at2759	GO:0002504	P	IEA
1132781at2759	GO:0002587	P	IEA
1132781at2759	GO:0005764	C	IEA
1132781at2759	GO:0005765	C	IEA
1132781at2759	GO:0005768	C	IEA
1132781at2759	GO:0006955	P	IEA
1132781at2759	GO:0010008	C	IEA
1132781at2759	GO:0016020	C	IEA
1132781at2759	GO:0016021	C	IEA
1132781at2759	GO:0019882	P	IEA
1132781at2759	GO:0019886	P	IEA
1132781at2759	GO:0023026	F	IEA
1132781at2759	GO:0042613	C	IEA
1132781at2759	GO:0045580	P	IEA
1132781at2759	GO:0050870	P	IBA
1154369at2759	GO:0006807	P	IEA
1154369at2759	GO:0016787	F	IEA
1154369at2759	GO:0016811	F	IEA
1185856at2759	GO:0008080	F	IEA
1225872at2759	GO:0005737	C	IBA
1272857at2759	GO:0003676	F	IEA
1272857at2759	GO:0003677	F	IEA
1272857at2759	GO:0003723	F	IEA
1272857at2759	GO:0046872	F	IEA
1276527at2759	GO:0000166	F	IEA
1276527at2759	GO:0000287	F	IEA
1276527at2759	GO:0004019	F	IEA
1276527at2759	GO:0005525	F	IEA
1276527at2759	GO:0005737	C	IEA
1276527at2759	GO:0006164	P	IEA
1276527at2759	GO:0006167	P	IEA
1276527at2759	GO:0016020	C	IEA
1276527at2759	GO:0016021	C	IEA
1276527at2759	GO:0016874	F	IEA
1276527at2759	GO:0022857	F	IEA
1276527at2759	GO:0044208	P	IEA
1276527at2759	GO:0046872	F	IEA
1276527at2759	GO:0055085	P	IEA
1295758at2759	GO:0003676	F	IEA
1295758at2759	GO:0004527	F	IEA
1295758at2759	GO:0006139	P	IEA
1295758at2759	GO:0008408	F	IEA
1295758at2759	GO:0090305	P	IEA
1320977at2759	GO:0004364	F	IEA
1320977at2759	GO:0016491	F	IEA
1320977at2759	GO:0016740	F	IEA
1337630at2759	GO:0008270	F	IEA
1337630at2759	GO:0046872	F	IEA
1371520at2759	GO:0016020	C	IEA
1371520at2759	GO:0016021	C	IEA
1371520at2759	GO:0022857	F	IEA
1371520at2759	GO:0055085	P	IEA
1379516at2759	GO:0005261	F	IEA
1379516at2759	GO:0005886	C	IEA
1379516at2759	GO:0016020	C	IEA
1379516at2759	GO:0016021	C	IEA
1379516at2759	GO:0034220	P	IEA
1379516at2759	GO:0098655	P	IEA
1388419at2759	GO:0005739	C	IEA
1388419at2759	GO:0005777	C	IEA
1411806at2759	GO:0043229	C	IEA
1422013at2759	GO:0005737	C	IEA
1422013at2759	GO:0016279	F	IEA
1422450at2759	GO:0000209	P	IEA
1422450at2759	GO:0004842	F	IEA
1422450at2759	GO:0016567	P	IEA
1422450at2759	GO:0061630	F	IEA
1494604at2759	GO:0005777	C	IEA
1524234at2759	GO:0003712	F	IEA
1524234at2759	GO:0005634	C	IEA
1524234at2759	GO:0006357	P	IEA
1524234at2759	GO:0016592	C	IEA
1524234at2759	GO:0070847	C	IEA
1541869at2759	GO:0008270	F	IEA
1541869at2759	GO:0046872	F	IEA
1559044at2759	GO:0006457	P	IEA
1559044at2759	GO:0016272	C	IEA
1559044at2759	GO:0051082	F	IEA
1576404at2759	GO:0000398	P	IEA
1576404at2759	GO:0005681	C	IEA
1576404at2759	GO:0006397	P	IEA
1576404at2759	GO:0008380	P	IEA
1605777at2759	GO:0016020	C	IEA
1605777at2759	GO:0016021	C	IEA
1612572at2759	GO:0003677	F	IEA
1617199at2759	GO:0000122	P	IEA
1617199at2759	GO:0003677	F	IEA
1617199at2759	GO:0005634	C	IEA
1617199at2759	GO:0005737	C	IEA
1617199at2759	GO:0046872	F	IEA
1617199at2759	GO:0061987	P	IEA
195455at2759	GO:0016837	F	IEA
253485at2759	GO:0003714	F	IEA
253485at2759	GO:0005634	C	IEA
253485at2759	GO:0006355	P	IEA
253485at2759	GO:0045892	P	IEA
338303at2759	GO:0004489	F	IEA
338303at2759	GO:0006555	P	IEA
338303at2759	GO:0016491	F	IEA
338303at2759	GO:0035999	P	IEA
338303at2759	GO:0106312	F	IEA
338303at2759	GO:0106313	F	IEA
363361at2759	GO:0005975	P	IEA
38224at2759	GO:0000166	F	IEA
38224at2759	GO:0004642	F	IEA
38224at2759	GO:0005524	F	IEA
38224at2759	GO:0006164	P	IEA
38224at2759	GO:0006189	P	IEA
38224at2759	GO:0006541	P	IEA
38224at2759	GO:0016874	F	IEA
38224at2759	GO:0046872	F	IEA
38224at2759	GO:0055086	P	IEA
38224at2759	GO:0072521	P	IEA
395194at2759	GO:0005227	F	IEA
395194at2759	GO:0005886	C	IBA
395194at2759	GO:0006811	P	IEA
395194at2759	GO:0016020	C	IEA
395194at2759	GO:0016021	C	IEA
395194at2759	GO:0034220	P	IEA
395194at2759	GO:0098655	P	IEA
464614at2759	GO:0006865	P	IEA
47111at2759	GO:0000166	F	IEA
47111at2759	GO:0003774	F	IEA
47111at2759	GO:0003779	F	IEA
47111at2759	GO:0005524	F	IEA
47111at2759	GO:0006996	P	IEA
47111at2759	GO:0015629	C	IEA
47111at2759	GO:0016459	C	IEA
47111at2759	GO:0051015	F	IEA
516638at2759	GO:0003824	F	IEA
525938at2759	GO:0016020	C	IEA
525938at2759	GO:0016021	C	IEA
525938at2759	GO:0035672	P	IEA
525938at2759	GO:0035673	F	IEA
52746at2759	GO:0002376	P	IEA
52746at2759	GO:0005737	C	IEA
52746at2759	GO:0006869	P	IEA
